"","Symbol","freq_bill_code","freq_customer_code","FullName"
"4972","852",6,6,"中石化石油机械股份有限公司"
"4981","856",1,1,"唐山冀东装备工程股份有限公司"
"4983","858",5,5,"宜宾五粮液股份有限公司"
"4989","859",2,2,"安徽国风塑业股份有限公司"
"4992","860",5,5,"北京顺鑫农业股份有限公司"
"5001","861",2,2,"广东海印集团股份有限公司"
"5005","863",1,1,"三湘印象股份有限公司"
"5006","868",8,8,"安徽安凯汽车股份有限公司"
"5018","869",1,1,"烟台张裕葡萄酿酒股份有限公司"
"5020","875",42,42,"吉林电力股份有限公司"
"5064","876",48,450,"新希望六和股份有限公司"
"5162","878",4,4,"云南铜业股份有限公司"
"5167","880",6,27,"潍柴重机股份有限公司"
"5187","881",6,6,"中广核核技术发展股份有限公司"
"5194","882",2,2,"北京华联商厦股份有限公司"
"5198","883",78,81,"湖北能源集团股份有限公司"
"5278","887",5,19,"安徽中鼎密封件股份有限公司"
"5289","888",4,4,"峨眉山旅游股份有限公司"
"5296","889",1,1,"中嘉博创信息技术股份有限公司"
"5297","890",14,14,"江苏法尔胜股份有限公司"
"5312","892",1,1,"欢瑞世纪联合股份有限公司"
"5314","893",1,1,"广州东凌国际投资股份有限公司"
"5316","895",3,105,"河南双汇投资发展股份有限公司"
"5321","897",14,144,"天津津滨发展股份有限公司"
"5335","898",105,1073,"鞍钢股份有限公司"
"5440","899",3,3,"江西赣能股份有限公司"
"5443","900",26,29,"现代投资股份有限公司"
"5470","901",8,8,"航天科技控股集团股份有限公司"
"5485","902",1,1,"新洋丰农业科技股份有限公司"
"5486","903",12,12,"昆明云内动力股份有限公司"
"5503","906",12,17,"浙商中拓集团股份有限公司"
"5526","908",1,1,"湖南景峰医药股份有限公司"
"5528","909",23,23,"数源科技股份有限公司"
"5552","911",3,3,"南宁糖业股份有限公司"
"5555","915",2,2,"山东山大华特科技股份有限公司"
"5558","917",2,2,"湖南电广传媒股份有限公司"
"5561","918",2,2,"嘉凯城集团股份有限公司"
"5564","919",3,3,"金陵药业股份有限公司"
"5570","921",13,13,"海信科龙电器股份有限公司"
"5595","923",2,2,"河北宣化工程机械股份有限公司"
"5598","925",2,2,"浙江众合科技股份有限公司"
"5601","926",1,1,"湖北福星科技股份有限公司"
"5602","930",1,1,"虚拟-中粮生物化学（安徽）股份有限公司"
"5603","932",3,5,"湖南华菱钢铁股份有限公司"
"5608","935",1,1,"四川双马水泥股份有限公司"
"5610","936",5,5,"江苏华西村股份有限公司"
"5617","937",1,1,"冀中能源股份有限公司"
"5619","938",2,2,"紫光股份有限公司"
"5622","948",4,4,"云南南天电子信息产业股份有限公司"
"5627","949",1,1,"新乡化纤股份有限公司"
"5629","950",3,3,"重药控股股份有限公司"
"5631","950",3,3,"重庆建峰化工股份有限公司"
"5634","951",38,111,"中国重汽集团济南卡车股份有限公司"
"5784","952",1,1,"湖北广济药业股份有限公司"
"5786","957",2,8,"姚树超"
"5787","957",2,8,"中通客车控股股份有限公司"
"5798","958",1,1,"国家电投集团东方新能源股份有限公司"
"5800","959",16,16,"北京首钢股份有限公司"
"5816","960",14,14,"云南锡业股份有限公司"
"5838","961",2,6,"江苏中南建设集团股份有限公司"
"5841","962",1,2,"宁夏东方钽业股份有限公司"
"5844","963",8,8,"华东医药股份有限公司"
