,Symbol,FullName,source,bill_code,customer_code,fullname
148,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIyNTk1NjExNw==',中国民生银行股份有限公司天津分行
149,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIzNTM2Mjc5MQ==',中国民生银行股份有限公司重庆分行
150,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI0NDQ2MzI1MA==',中国民生银行股份有限公司沈阳分行
151,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI1NTAzNzU1NA==',中国民生银行股份有限公司南京分行
152,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI1NTA0NTIyNw==',中国民生银行股份有限公司南京分行
153,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI3NjY4ODM4MQ==',民生银行股份有限公司武汉分行
154,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI4Njc2ODczNA==',中国民生银行股份有限公司成都分行
155,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDI5NDg2OTY5OA==',中国民生银行股份有限公司西安分行
156,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDUyMDI4Nzc2NA==',中国民生银行股份有限公司遵义分行
157,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MzEwMDU3MTgyNQ==',中国民生银行股份有限公司邯郸分行
158,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MzExMzY3OTU4Mg==',中国民生银行股份有限公司
159,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MzEyMTk5Njg1MA==',中国民生银行股份有限公司保定分行
160,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MzEzMDI4MDQ3MQ==',中国民生银行股份有限公司张家口分行
161,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MzE1MTk5MTQwNw==',中国民生银行股份有限公司唐山分行
