,Symbol,FullName,source,bill_code,customer_code.y,b.fullname,flag
29113,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTI1MjY5Ng==',中信银行公司一部,1
29114,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTI2NjAyMg==',中信银行股份有限公司常州分行,1
29115,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTM4MzEwOA==',中信银行股份有限公司常州分行,0
29116,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTM4ODkyMg==',中信银行股份有限公司常州分行,1
29117,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTQyMDU5NQ==',中信银行股份有限公司常州分行,1
29118,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTQ1MzQ3Mg==',中信银行股份有限公司常州分行,1
29119,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTQ1NzA1Nw==',中信银行股份有限公司常州分行,1
29120,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc2Ng==',中信银行常州城南支行,1
29121,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc3MA==',中信银行股份有限公司常州分行,1
29122,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc3NQ==',中信银行股份有限公司常州分行,1
29123,601998,中信银行股份有限公司,2,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc4Mg==',中信银行股份有限公司常州分行,1
29124,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc4Ng==',中信银行股份有限公司常州分行,1
29125,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc5NA==',中信银行股份有限公司常州分行,1
29126,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc5Ng==',中信银行股份有限公司常州分行,1
29127,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjc5OQ==',中信银行股份有限公司常州分行,1
29128,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MjAzMjgwNw==',中信银行股份有限公司常州分行,1
29129,601998,中信银行股份有限公司,2,b'NTExMTY4MDQ5MA==',b'NTExMTY4MDQ5MA==',中信银行股份有限公司句容支行,1
29130,601998,中信银行股份有限公司,2,b'MDI0MzA2MDM1OQ==',b'MDI0MzA2MDM1OQ==',中信银行股份有限公司沈阳南塔支行,1
29131,601998,中信银行股份有限公司,2,b'NDExMTExMTE1OA==',b'NDExMTExMTE1OA==',中信银行股份有限公司大连分行,1
29132,601998,中信银行股份有限公司,2,b'MDIzMjYyNzY3OQ==',b'MDIzMjYyNzY3OQ==',中信银行股份有限公司重庆观音桥支行,1
29133,601998,中信银行股份有限公司,2,b'MDIzMTgzNjE5MQ==',b'MDIzMTgzNjE5MQ==',中信银行股份有限公司重庆分行,1
29134,601998,中信银行股份有限公司,2,b'Mzc2MDMxOTkyNg==',b'Mzc2MDMxOTkyNg==',中信银行股份有限公司信阳分行,1
