,Symbol,FullName,source,bill_code,customer_code.y,b.fullname
100,000063,中兴通讯,1,b'OTUxMDM3NDQ2MQ==',b'OTUxMDM3NDQ2MQ==',中兴通讯股份有限公司
101,000063,中兴通讯,1,b'MDI3NTMwMzYyMw==',b'MDI3NTMwMzYyMw==',中兴通讯股份有限公司
102,000063,中兴通讯,1,b'NTMxMzQ5NzAxNw==',b'NTMxMzQ5NzAxNw==',中兴通讯股份有限公司
103,000063,中兴通讯,1,b'NzU1MDA4NDMwNA==',b'NzU1MDA4NDMwNA==',中兴通讯股份有限公司
104,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'NzMxMTY3NjEyMQ==',长沙中兴软件有限责任公司
105,000063,中兴通讯,1,b'MDIwMjQzMjQ2MA==',b'MDIwMjQzMjQ2MA==',中兴通讯股份有限公司
106,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDIxNDY1MzI2Mg==',中兴通讯股份有限公司
107,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDI5NDU2NTc0Nw==',中兴通讯股份有限公司
108,000063,中兴通讯,1,b'MzcxMjY1NzIyNg==',b'MzcxMjY1NzIyNg==',中兴通讯股份有限公司
109,000063,中兴通讯,1,b'NTUxMTQzMzcxMQ==',b'NTUxMTQzMzcxMQ==',中兴通讯股份有限公司
110,000066,中国长城,1,b'NzU1MDA0OTExNw==',b'NzU1MDA0OTExNw==',中国长城科技集团股份有限公司
111,000066,中国长城,1,b'NzMxMjAxMTE0Mw==',b'NzMxMjAxMTE0Mw==',中国长城科技集团股份有限公司
112,000066,中国长城,1,b'NzU1MTI0OTU2Ng==',b'NzU1MTI0OTU2Ng==',中国长城科技集团股份有限公司
113,000070,特发信息,1,b'NzU1NTk2OTA1Mw==',b'NzU1NTk2OTA1Mw==',深圳市特发信息股份有限公司
114,000070,特发信息,1,b'NzU1Mjc1NDYwNQ==',b'NzU1Mjc1NDYwNQ==',深圳市特发信息股份有限公司
115,000070,特发信息,1,b'NzU1ODU4MzgyOQ==',b'NzU1ODU4MzgyOQ==',深圳市特发信息股份有限公司
116,000070,特发信息,1,b'NzY5MDAzOTQ3NA==',b'NzY5MDAzOTQ3NA==',深圳市特发信息股份有限公司
117,000078,海王生物,1,b'NzU1MDA3NDI2OA==',b'NzU1MDA3NDI2OA==',深圳市海王生物工程股份有限公司
